decl,tau,umag,redshift,gmag,av,specname,zmag,lensid,rv,nimg,imgid,ra,extmodel,absimag,ymag,imag,rmag,sfinf,magnorm,fluxnorm,t_0
6.00875,37.9705921606,22.1916817219,1.68,22.0042881541,0.0,agn.spec,21.6880273922,24328748,3.1,2,1,4.65794351541,CCM,-22.7138255066,21.696252791,21.6967345464,21.9155674687,0.274599674312,22.2465531413,5.49902490555e-17,0.0
6.15087833333,263.527728039,23.0763954644,1.09,22.9512273132,0.0,agn.spec,22.7383289917,24343845,3.1,4,0,4.64392336126,CCM,-19.7804634007,22.5401399622,22.7274559575,22.7190532858,0.553980655856,23.0099382239,2.72227286106e-17,0.0
6.153545,263.527728039,24.0588926625,1.09,23.9337245113,0.0,agn.spec,23.7208261898,24343845,3.1,4,1,4.65248932649,CCM,-19.7804634007,23.5226371603,23.7099531556,23.7015504839,0.553980655856,23.992435422,1.10136881243e-17,20.505
6.14433333333,263.527728039,22.8209202378,1.09,22.6957520866,0.0,agn.spec,22.482853765,24343845,3.1,4,2,4.65251950015,CCM,-19.7804634007,22.2846647356,22.4719807309,22.4635780592,0.553980655856,22.7544629973,3.44446474708e-17,2.221
6.14485666667,263.527728039,22.6317203384,1.09,22.5065521871,0.0,agn.spec,22.2936538656,24343845,3.1,4,3,4.6476397497,CCM,-19.7804634007,22.0954648362,22.2827808315,22.2743781598,0.553980655856,22.5652630978,4.10016849275e-17,3.732
6.29884333333,158.687546544,21.5695871858,2.14,21.3635955719,0.0,agn.spec,20.9183774223,24408237,3.1,2,0,4.65790104811,CCM,-23.985814974,20.9564606962,21.1220165608,21.2493174292,0.261175024495,21.6642303705,9.40188197329e-17,0.0
6.29848666667,158.687546544,21.7726069281,2.14,21.5666153142,0.0,agn.spec,21.1213971646,24408237,3.1,2,1,4.6471460985,CCM,-23.985814974,21.1594804385,21.325036303,21.4523371715,0.261175024495,21.8672501128,7.79842496928e-17,18.246
6.442145,235.063356906,19.1066668305,1.45,19.0562739333,0.0,agn.spec,18.7228905771,24448209,3.1,2,0,4.64998322717,CCM,-24.3647262689,18.759907565,18.7208516179,18.826643081,0.228049860534,19.1854862543,9.21960768923e-16,0.0
6.45311,235.063356906,21.0717783583,1.45,21.0213854612,0.0,agn.spec,20.688002105,24448209,3.1,2,1,4.65175947031,CCM,-24.3647262689,20.7250190929,20.6859631458,20.7917546089,0.228049860534,21.1505977822,1.50892561241e-16,27.548
6.57442666667,282.793274433,23.3894807094,2.41,22.4812352823,0.0,agn.spec,22.1910925189,24459097,3.1,2,0,4.63418854713,CCM,-23.2133072721,22.0412578037,22.3664035829,22.4068714628,0.326514928923,22.8953902084,3.02517748723e-17,0.0
