decl,ra_bulge,dec_bulge,g,redshift,ext_model_bulge,pa_bulge,fluxnorm_bulge,sedname_bulge,b_bulge,i,r,u,ra,a_bulge,y,z,rv_bulge,id,magnorm_bulge,av_bulge
0.0,7.5,0.0,19.1959560271,0.158,CCM,9.721012,1.47395719101e-15,Exp.50E09.1Z.spec,0.89747903648,17.9449921,18.315339058,20.5156811919,7.5,1.9510969475,17.553889592,17.710131972,3.1,217824,18.6760551823,0.0
0.15,7.5,0.15,18.3865955271,0.158,CCM,-10.90805,3.10619753156e-15,Exp.50E09.1Z.spec,1.52087767459,17.1356316,17.505978558,19.7063206919,7.5,2.3951225565,16.744529092,16.900771472,3.1,219975,17.8666946823,0.0
0.3,7.5,0.3,18.3805568271,0.158,CCM,12.52047,3.12352186383e-15,Exp.50E09.1Z.spec,1.75603198112,17.1295929,17.499939858,19.7002819919,7.5,2.08575526498,16.738490392,16.894732772,3.1,220198,17.8606559823,0.0
0.45,7.5,0.45,18.5982445423,0.16,CCM,63.73075,2.5719201122e-15,Exp.50E09.1Z.spec,1.53173608371,17.3412819,17.712830805,19.9168064605,7.5,1.98788464144,16.9500927754,17.1069315758,3.1,227162,18.0716236714,0.0
0.6,7.5,0.6,18.9543920179,0.162,CCM,-98.9861,1.86417619924e-15,Exp.50E09.1Z.spec,1.05731651462,17.6915588,18.0642760002,20.27180084,7.5,2.11192511885,17.2998616808,17.4574625955,3.1,235625,18.4210499608,0.0
0.75,7.5,0.75,18.2477117179,0.162,CCM,-70.61805,3.57403728511e-15,Exp.50E09.1Z.spec,1.69316162569,16.9848785,17.3575957002,19.56512054,7.5,2.50003193134,16.5931813808,16.7507822955,3.1,237091,17.7143696608,0.0
0.9,7.5,0.9,18.7665153564,0.164,CCM,96.57446,2.22988190006e-15,Exp.50E09.1Z.spec,1.26433481178,17.4978848,17.8717768724,20.0831306153,7.5,2.11896587622,17.1056529108,17.2639421414,3.1,243722,18.226562702,0.0
1.05,7.5,1.05,18.0175567564,0.164,CCM,98.15248,4.44493385241e-15,Exp.50E09.1Z.spec,1.89380247443,16.7489262,17.1228182724,19.3341720153,7.5,2.78631115636,16.3566943108,16.5149835414,3.1,245598,17.477604102,0.0
1.2,7.5,1.2,18.0235972564,0.164,CCM,-72.34307,4.42027309953e-15,Exp.50E09.1Z.spec,1.88594056469,16.7549667,17.1288587724,19.3402125153,7.5,2.78267475805,16.3627348108,16.5210240414,3.1,245676,17.483644602,0.0
1.35,7.5,1.35,17.9088359564,0.164,CCM,-22.93623,4.91307758509e-15,Exp.50E09.1Z.spec,2.02138633732,16.6402054,17.0140974724,19.2254512153,7.5,2.88036383017,16.2479735108,16.4062627414,3.1,246041,17.368883302,0.0
