decl,tau,redshift,av,lensid,rv,nimg,imgid,ra,extmodel,absimag,sfinf,magnorm,g,i,r,u,sedname,fluxnorm,y,t_0,z
-4.64811,224.277294184,2.67,0.0,79757697,3.1,2,1,3.14269428667,CCM,-25.6945756625,0.190321683207,19.7591372462,19.4382120682,19.1616621822,19.1939159507,20.3841766996,agn.spec,5.43565700678e-16,18.9178027254,0.0,19.0570019875
-4.504775,463.055989064,4.16,0.0,79901682,3.1,4,0,3.15436345106,CCM,-22.2424064623,0.428717508209,24.6322961676,25.3108531426,23.7900036772,24.0158243393,26.3504797772,agn.spec,6.1092581394e-18,23.6510946563,0.0,23.7511586429
-4.49552666667,463.055989064,4.16,0.0,79901682,3.1,4,1,3.14977096061,CCM,-22.2424064623,0.428717508209,23.4951615834,24.1737185583,22.652869093,22.878689755,25.2133451929,agn.spec,1.7411745467e-17,22.513960072,11.026,22.6140240587
-4.49889666667,463.055989064,4.16,0.0,79901682,3.1,4,2,3.14551617787,CCM,-22.2424064623,0.428717508209,22.82103686,23.499593835,21.9787443696,22.2045650316,24.5392204696,agn.spec,3.23960603375e-17,21.8398353486,10.829,21.9398993353
-4.49704333333,463.055989064,4.16,0.0,79901682,3.1,4,3,3.14632533891,CCM,-22.2424064623,0.428717508209,22.4059989347,23.0845559097,21.5637064443,21.7895271064,24.1241825443,agn.spec,4.74796347399e-17,21.4247974234,10.786,21.52486141
-4.35049,336.825196776,2.4,0.0,80146971,3.1,2,0,3.15170825426,CCM,-25.6019789514,0.209678449572,21.8524730297,21.4387436041,21.3231280982,21.3673714732,22.3416336859,agn.spec,7.90528863383e-17,20.9997641426,65.268,21.1489245772
-4.34586333333,336.825196776,2.4,0.0,80146971,3.1,2,1,3.1434544778,CCM,-25.6019789514,0.209678449572,20.0353034458,19.6215740202,19.5059585143,19.5502018894,20.5244641021,agn.spec,4.21488339985e-16,19.1825945588,0.0,19.3317549933
-4.20599333333,230.855239447,3.64,0.0,80148089,3.1,2,0,3.16339764635,CCM,-25.2643218872,0.202566357064,21.7352778508,22.0694867536,20.9194089613,21.0386272127,23.5109284746,agn.spec,8.80634717642e-17,20.9165099819,0.0,20.8664313894
-4.19825166667,230.855239447,3.64,0.0,80148089,3.1,2,1,3.14761192009,CCM,-25.2643218872,0.202566357064,23.1442736364,23.4784825392,22.3284047469,22.4476229983,24.9199242603,agn.spec,2.40545639486e-17,22.3255057675,136.633,22.275427175
-4.04803666667,428.307548211,2.81,0.0,80307285,3.1,2,0,3.1431144721,CCM,-24.0415860828,0.31097219706,22.0955752011,21.7875790926,21.4510129237,21.5265124027,22.9353858904,agn.spec,6.31941479684e-17,21.2523710464,0.0,21.4220079091
-4.050025,428.307548211,2.81,0.0,80307285,3.1,2,1,3.15154218448,CCM,-24.0415860828,0.31097219706,23.8973016034,23.589305495,23.2527393261,23.3282388051,24.7371122927,agn.spec,1.20222651424e-17,23.0540974487,42.515,23.2237343114
-3.90014833333,74.0371832904,4.74,0.0,80312403,3.1,2,0,3.16141643729,CCM,-25.7119502415,0.264159490201,22.136257902,23.3980118529,21.1688999716,21.9567721348,23.798365773,agn.spec,6.08700673614e-17,21.138080824,0.0,21.1112081868
-3.89951666667,74.0371832904,4.74,0.0,80312403,3.1,2,1,3.14775814181,CCM,-25.7119502415,0.264159490201,23.125893764,24.3876477148,22.1585358336,22.9464079968,24.788001635,agn.spec,2.44652375834e-17,22.127716686,66.069,22.1008440488
-3.74540333333,101.647598242,2.61,0.0,80729064,3.1,2,0,3.1491097606,CCM,-23.6273666811,0.360357721392,23.4001904793,23.0594293219,22.835218574,22.8346981914,23.9783536736,agn.spec,1.90033755662e-17,22.5527174153,70.475,22.6873075496
-3.75962,101.647598242,2.61,0.0,80729064,3.1,2,1,3.14815104124,CCM,-23.6273666811,0.360357721392,21.2190054014,20.878244244,20.6540334961,20.6535131135,21.7971685957,agn.spec,1.41678771557e-16,20.3715323374,0.0,20.5061224718
-3.60029,605.173456456,3.08,0.0,80737014,3.1,2,0,3.15443541895,CCM,-23.4730008623,0.36325464779,23.8475732062,23.5921468498,23.1545130366,23.2359673481,25.1849456259,agn.spec,1.25857082662e-17,23.0210825916,125.254,23.1704753478
-3.59230166667,605.173456456,3.08,0.0,80737014,3.1,2,1,3.13868433779,CCM,-23.4730008623,0.36325464779,23.1368647299,22.8814383735,22.4438045603,22.5252588718,24.4742371497,agn.spec,2.42192701328e-17,22.3103741153,0.0,22.4597668715
-3.46018,183.747104171,3.41,0.0,80887097,3.1,2,0,3.15378018419,CCM,-24.1975014937,0.26228421536,22.7528922122,22.6611691839,22.019430901,22.1154693741,24.5390643437,agn.spec,3.44945162103e-17,21.9587946282,0.0,21.9273934499
-3.44745,183.747104171,3.41,0.0,80887097,3.1,2,1,3.1494773862,CCM,-24.1975014937,0.26228421536,23.5091412477,23.4174182195,22.7756799366,22.8717184097,25.2953133793,agn.spec,1.71889933696e-17,22.7150436638,75.993,22.6836424855
-3.29972,370.964820219,3.07,0.0,80905632,3.1,2,0,3.15876119433,CCM,-24.2067005943,0.221446035443,22.2041083275,21.9464332957,21.5132803068,21.593535432,23.5229632488,agn.spec,5.71825623468e-17,21.3760941262,0.0,21.5284813993
-3.299065,370.964820219,3.07,0.0,80905632,3.1,2,1,3.14718867164,CCM,-24.2067005943,0.221446035443,23.061862128,22.8041870962,22.3710341073,22.4512892326,24.3807170493,agn.spec,2.59514776973e-17,22.2338479268,51.958,22.3862351998
-3.15431,192.938496921,2.52,0.0,80912469,3.1,4,0,3.15173094863,CCM,-22.6457120112,0.350836062917,23.043391015,22.6519569953,22.5090597691,22.5087594778,23.5792856535,agn.spec,2.63967547314e-17,22.1857195198,21.967,22.3281007282
-3.14985,192.938496921,2.52,0.0,80912469,3.1,4,1,3.14338500539,CCM,-22.6457120112,0.350836062917,22.9944570095,22.6030229898,22.4601257636,22.4598254722,23.530351648,agn.spec,2.76136705659e-17,22.1367855143,0.0,22.2791667227
-3.14526666667,192.938496921,2.52,0.0,80912469,3.1,4,2,3.15239361652,CCM,-22.6457120112,0.350836062917,22.4082264175,22.0167923978,21.8738951716,21.8735948803,22.944121056,agn.spec,4.73823259678e-17,21.5505549223,17.693,21.6929361307
-3.14786833333,192.938496921,2.52,0.0,80912469,3.1,4,3,3.15492076813,CCM,-22.6457120112,0.350836062917,22.0029979895,21.6115639698,21.4686667436,21.4683664522,22.538892628,agn.spec,6.8818903292e-17,21.1453264943,16.881,21.2877077027
-3.012715,93.7859915673,4.66,0.0,81108726,3.1,2,0,3.15065923679,CCM,-24.3447179936,0.424207257187,22.360766591,23.5527770966,21.4497095402,22.0415093363,24.0302280742,agn.spec,4.94994424014e-17,21.3751688708,0.0,21.3282853805
-2.99495,93.7859915673,4.66,0.0,81108726,3.1,2,1,3.14378147773,CCM,-24.3447179936,0.424207257187,23.4584815565,24.6504920621,22.5474245057,23.1392243017,25.1279430396,agn.spec,1.80100252029e-17,22.4728838363,48.04,22.4260003459
-2.85061666667,278.922881053,2.11,0.0,81131799,3.1,2,0,3.1545589722,CCM,-23.3064812085,0.28559048703,22.0298404754,21.7361677671,21.4857162268,21.6236643412,21.898756163,agn.spec,6.71383637935e-17,21.3297786334,65.624,21.2869223137
-2.849135,278.922881053,2.11,0.0,81131799,3.1,2,1,3.14214194726,CCM,-23.3064812085,0.28559048703,21.3465472454,21.052874537,20.8024229967,20.9403711111,21.2154629329,agn.spec,1.25976066873e-16,20.6464854033,0.0,20.6036290837
-2.69967666667,211.241839406,2.8,0.0,81304504,3.1,2,0,3.1470917715,CCM,-24.4945955647,0.250631748841,22.9612015976,22.6527225213,22.3190223455,22.3931823732,23.7814698342,agn.spec,2.84725460547e-17,22.1181711713,57.135,22.2861410565
-2.69532666667,211.241839406,2.8,0.0,81304504,3.1,2,1,3.15740655554,CCM,-24.4945955647,0.250631748841,21.8180573609,21.5095782845,21.1758781087,21.2500381364,22.6383255975,agn.spec,8.15988426078e-17,20.9750269345,0.0,21.1429968198
-2.560735,350.255764594,3.31,0.0,81305043,3.1,4,0,3.15508837196,CCM,-24.6151248073,0.267657224262,20.6478113248,20.4736720553,19.9292664694,20.0226276963,22.3822022957,agn.spec,2.3976313759e-16,19.8544977958,0.918,19.8734107302
-2.54646666667,350.255764594,3.31,0.0,81305043,3.1,4,1,3.14208382788,CCM,-24.6151248073,0.267657224262,22.2296271055,22.055487836,21.5110822501,21.604443477,23.9640180764,agn.spec,5.58542341047e-17,21.4363135765,48.734,21.4552265109
-2.54637333333,350.255764594,3.31,0.0,81305043,3.1,4,2,3.16098921512,CCM,-24.6151248073,0.267657224262,20.6837189684,20.5095796989,19.965174113,20.0585353399,22.4181099393,agn.spec,2.31963341253e-16,19.8904054394,0.0,19.9093183738
-2.55555333333,350.255764594,3.31,0.0,81305043,3.1,4,3,3.16064220483,CCM,-24.6151248073,0.267657224262,20.3736048781,20.1994656087,19.6550600228,19.7484212497,22.1079958491,agn.spec,3.08649083632e-16,19.5802913492,2.718,19.5992042835
