#The following SEDs are for the blue horizontal branch stars in the catalog
#These are Kurucz models
#sedfilename,number
bergeron_4250_75.dat_4400,11
bergeron_4500_65.dat_4550,62
bergeron_4250_80.dat_4300,330
bergeron_3750_85.dat_3800,5
bergeron_4500_75.dat_4500,29
bergeron_4250_75.dat_4450,23
bergeron_4500_75.dat_4550,166
bergeron_4500_70.dat_4700,234
bergeron_4250_80.dat_4400,334
bergeron_4250_90.dat_4500,65
bergeron_4500_75.dat_4650,329
bergeron_4500_75.dat_4700,255
bergeron_4500_80.dat_4700,180
bergeron_3500_80.dat_3700,118
bergeron_4250_80.dat_4500,167
bergeron_4500_80.dat_4600,126
bergeron_4500_80.dat_4550,101
bergeron_4000_80.dat_4200,421
bergeron_4500_90.dat_4550,12
bergeron_4500_90.dat_4650,59
bergeron_4250_90.dat_4350,3
bergeron_3750_75.dat_3750,30
bergeron_4250_75.dat_4250,59
bergeron_4250_90.dat_4300,2
bergeron_4500_75.dat_4600,378
bergeron_4000_75.dat_4200,61
bergeron_4500_80.dat_4650,116
bergeron_4250_80.dat_4350,312
bergeron_4500_75.dat_4750,154
bergeron_4500_85.dat_4750,39
bergeron_4250_85.dat_4400,282
bergeron_4750_65.dat_4950,126
bergeron_4500_65.dat_4600,238
bergeron_4250_70.dat_4450,43
bergeron_4500_85.dat_4650,203
bergeron_4250_90.dat_4450,18
bergeron_4250_75.dat_4300,53
bergeron_4250_90.dat_4400,13
bergeron_4750_70.dat_4800,151
bergeron_4250_85.dat_4300,352
bergeron_4750_70.dat_4750,201
bergeron_4500_65.dat_4650,115
bergeron_4500_70.dat_4550,214
bergeron_4500_85.dat_4550,174
bergeron_4750_75.dat_4850,221
bergeron_4750_70.dat_5000,132
bergeron_4750_80.dat_4850,270
bergeron_4500_85.dat_4600,254
bergeron_4750_75.dat_4950,158
bergeron_4750_80.dat_4900,205
bergeron_4750_65.dat_5000,157
bergeron_4750_80.dat_4800,318
bergeron_4750_65.dat_4900,121
bergeron_4750_70.dat_4900,140
bergeron_4750_65.dat_4850,178
bergeron_4750_75.dat_4800,227
bergeron_4500_90.dat_4700,30
bergeron_4750_85.dat_4900,207
bergeron_4500_70.dat_4650,152
bergeron_4750_85.dat_4850,71
bergeron_4750_90.dat_4800,139
bergeron_4750_75.dat_4900,190
bergeron_4750_70.dat_4950,127
bergeron_4750_85.dat_4950,244
bergeron_4750_90.dat_4850,80
bergeron_4750_80.dat_4950,194
bergeron_4750_95.dat_4900,3
bergeron_4750_80.dat_4750,294
bergeron_5000_70.dat_5050,86
bergeron_5000_70.dat_5200,229
bergeron_5000_65.dat_5250,100
